Group,Text,Submissions,Agreement
00639b9b-3a45-4c59-90f6-a4738de92fd4,"['Hello', 'hi', 'Hello', 'hw r u', 'I think we need to check A obviously', 'But I also think we need to check 7 to make sure there is no vowel under it', 'I think V need to be checked', 'Yes A', 'Why check V?', 'nothing', 'Under A it must be even number same with 2', 'yes', 'And if 7 has a voewel it can disprove the rule', 'ok I go with A or 2', 'ok I will go A', 'It doesn;t matter what is under 2', 'The rule says vowels have 2s. it does not say ONLY voewls have 2s', 'A is vowel', 'I am checking 7 becuase if it is a vowel it disproves the rule.', 'Ok You carry on', 'every vowel has even number so If we check 2 we can approve the rule', 'yes', 'vote only one now we go with majority', 'yes', 'A 7', 'A 2', 'select card required to verify rule', 'I go 2', '@ cat 7 not enough to verify', '2 is enough', 'Yes', 'shall we go with 2 @Cat']","{'cards': ['2', '7', 'V', 'A'], 'Cat': ['7', 'A'], 'Kiwi': [], 'Dolphin': ['2']}",-0.2222222222222221
01acf3e3-714c-4d53-9b74-9170a645bcd0,"['the obvious answer would be to chhose A and 6', 'what do you think', 'I agree. If A = even then 6 should be a vowel', 'yes, it would I think its 3 and A because a is the vowel so we have to test if there would be an even number when turned over and 3 is an odd number so if it had a vowel the rule wouldnt be right', ""'Actually wouldn''t you have to turn all of the cards?'"", ""'to test the rule, we need to check the other cards don''t follow the rule'"", 'yeah to then see if there are any excetions to the rule', 'what happens now?', 'do we need to turn z?', 'z and 3 I think', 'we need to turn a over to test the vowel', 'do we not need to turn A to see if it has an even number on the other', 'yes', 'yeah, sorry', 'so which ones do we need to turn?', 'is it A, 6 and 3?', 'all of them, we need to know if the rule applies to every card', 'oh yeah sorry', 'everyone happy with that?', 'yeah deffinately', 'yeah']","{'cards': ['3', 'A', 'Z', '6'], 'Lion': ['3', 'A', '6'], 'Kiwi': ['3', 'A', 'Z', '6'], 'Beaver': ['3', 'A', 'Z', '6']}",0.0
0d3e5966-6120-4bf3-a51e-e979f635819b,"['Hey! So what does everyone think?', 'I believe it is just E', 'I thought E and the 7', ""'Because we need to rule out that there''s a vowel on the other side of the 7'"", 'Could be wrong though...', '7 is an odd number', 'Yeah, my logic was if there is a vowel on the other side of 7 that proves the rule wrong.', 'Maybe it is E and 2, not sure, it depends on how we interpret the rule I guess', 'Now that I think about it, we could choose all cards to test whether the rule is broken', 'Ah, that could be a good point.', 'Or even every one but the 2', 'Because if there is a consonant on the other side', 'It still fits the rule', ""'Because we only care if there''s a vowel'"", 'Ah, but it says ""has a letter on one side and a number on the other""', 'So I guess no need to check the K', 'The more I think about this the more confused I get', ""'I''m going to select all cards I think'"", ""'I''m still thinking just E and 7'"", 'If E has an odd number on the other side, rule is wrong', 'If even, correct', 'So we need to know', '7 too', ""'Because if there''s a consonant on the other side, rule is correct'"", ""'If there''s a vowel, it''s wrong'"", ""'K would be okay either way because we just need to prove when there''s a vowel, there''s an even number'"", 'Not the other way around', 'If you know what I mean', 'I still think all cards could prove the rule wrong', 'I think this whole thing is a test to see how people interpret rules', 'Do we have to select the same answer?', 'No, I think we can still select whichever we feel is best', ""'I''m going with all the cards.'""]","{'cards': ['E', '2', '7', 'K'], '': [], 'Bee': ['E', '7'], 'Leopard': ['E', '2', '7', 'K']}",-0.2222222222222221
0fe49822-69a3-488b-856d-436cb9d8d45f,"[""'what''s up guys and girls'"", ""'What''s up?'"", ""'i''m assuming this is pretty obvious to everyone right'"", ""'I''m going with A and 1'"", 'lol', 'why not a and 4?', 'if 4 has a vowel on the back and a has an even number it confirms the rule.  am I missing something?', ""'4 is even so either there''s a vowel on the back and it follows the rule or it''s not a vowel and it''s not what the rule is asking for'"", 'what rule is it asking you to check?', 'all cards with vowels on one side have an even number on the other', ""'1 is odd, so you have to flip it to ensure there isn''t a vowel on the other side'"", 'so check the vowel card and the even number card then, right?', ""'4 is even, so we don''t need to flip it. Either there''s a vowel there and it follows the rule or it''s not a vowel and we don''t care about it'"", ""'i mean, if a doesn''t have an even on the other side or 4 doen''t have a vowel, we know FOR sure that the rule is wrong'"", 'turning over 1 tells us nothing conclusive, same with v', ""'You have to turn over the 1. It''s odd so if you flip it and there''s a vowel on the back, you know the rule doesn''t work'"", ""'You''re trying to disprove the rule. We see an A on one side, so we need to flip it to see if there''s an even number on the back'""]","{'cards': ['1', 'V', 'A', '4'], '': [], 'Llama': ['1', 'A'], 'Giraffe': ['A', '4']}",-0.03125
1af2b204-c003-4a56-bd19-d8bd242f94d2,"['Hello', 'Hi', 'I decided to turn the card with a vowel and an even number', 'Hello', 'to see if both of those would have a vowel or even number on the other side', 'I think we need to turn the even numbered cards and the vowels to verify the rule', 'I chose to turn them all over, as we need to understand what is on the back of all of them', 'I did the same as you falcon.', 'Tiger might be right though', 'Ok', ""'if we turn them all over we will see that the other ones don''t have vowels or even numbers'"", 'right', 'ok', ""'yeah, just because the rule works for 2 doesn''t mean it will for the other two not turned over'"", '\'yeah all 4 would give us 4 ""proofs"" that it\'\'s right\'', '@Duck any thoughts?', '@Cat any thoughts?', 'oh maybe you are right to turn 4', 'that makes sense you have to test all', 'I think so', ""'I''m on board with all 4'"", 'yep', 'ok', 'does that mean we do final decision', 'im on board too', 'sounds good to me', 'i am too', 'Alright good deal', 'Yes, you too.  I think it works well to check all 4 because the R could have an even number on it and not a vowel', 'or the five could have a vowel and not an even number', 'you have to see all sides like the 4 might or might not have a vowel on it']","{'cards': ['E', '5', 'R', '4'], 'Hedgehog': ['E'], 'Lion': ['E', '5', 'R', '4'], 'Tiger': ['E', '5', 'R', '4'], 'Falcon': ['E', '5', 'R', '4'], 'Cat': ['E', '5', 'R', '4']}",-0.11764705882352944
2381fe73-4fc9-45cd-b0ad-84327c70c48d,"['Hello', 'I think I understand the right answer', '?', 'all cards with vowels...we only need to check all cards that could be vowels', 'and might be odd', 'So we need to check only: 7 and A', ""'For 6, we already know it''s even, so if it''s vowel or not, doesn''t matter'"", 'going with 7 an P?', ""'I''m doing 7 and A'"", 'ave an even number on the other.', 'evem number on the other?', '6 and A?']","{'cards': ['A', '7', 'P', '6'], '': [], 'Ox': ['7', 'A'], 'Butterfly': ['A', '6']}",-0.03125
2788e8a9-eecf-4d92-af82-08d8b5ce1bf5,"['hello', 'hello', 'Hello', 'can you understand the game clear?', 'I think so', ""'if you don''t mind explain the game'"", 'I choose a odd number', 'I could be wrong but I chose to turn over the U card and the 4 card to check the rule', 'may be am worng, i choose U', 'U card would need an even number on the other side to verify the rule', 'and the 4 card would need a vowel on the other side', 'The other side of the card is given the even numbers', 'but maybe choosing an odd would be a good idea too', 'I need to be the odd number', '@Dolphin  DO YOU HAVE ANY STARGY', 'the card require to verify the rule', '@Emu  I THINK YOUR GUESS IS CORRECT', 'I think I am overthinking this lol', '@Dolphin  YES', 'so what should we choose', '@Emu NOT AT ALL LIKE THAT', 'i like to choose U', '@Panda what did you say', 'MY CHOICE IS U', 'THIS IS ENOUGH TIME TO CHOOSE OUR SELECTION', 'okay', '@Lobster  R U THERE', 'but what is our best choice', '@Dolphin  WHAT ABOUT U', '@Panda I am here', '@Panda I like this task only', 'YOU ARE ALSO @Lobster  LOL', 'done', '@Dolphin say something']","{'cards': ['R', 'U', '5', '4'], 'Dolphin': ['5'], 'Panda': ['U'], 'Emu': ['U', '4']}",-0.03125
29211401-b102-472a-974c-206c02583686,"['Is an even number on the other side of T and U?', 'Would 7 have a consonant?', 'Would 2 have a vowel on the other side.', 'I think 7 should be tetsted', 'Yes', 'T and U should have an odd numbers', ""'Let''s see if others have any questions'"", 'I think to be totally sure you would need to flip all of them', 'Interesting', 'why', 'So the rule is not applying at all?', 'I think 7 is in question and shoul be tested', 'If you want to be 100% sure flip all', 'that is true', 'Okay', 'I think you are right', 'I changed my mind', 'I am not sure what others will say about this', 'Any other suggestions', ""'I''m going to flip all'"", 'same here']","{'cards': ['2', '7', 'T', 'U'], '': [], 'Lion': ['U'], 'Kiwi': ['2', '7', 'T', 'U'], 'Llama': ['2', '7', 'T', 'U']}",-0.19047619047619047
2b20c864-a1ee-4b9b-9164-773078f47ae0,"['I chose the 4 and the U', 'I selected them all', ""'You can''t know if they all meet the rules unless you look at them all.'"", ""'I think we only need to confirm that even numbers match with a vowel.  It doesn''t matter what the 5 and the P are paired with.'"", 'The only rule I see is if a card has a voel on one side it has an even number.', 'I only have one even number', 'and you should have a vowel', 'Sorry, overlooked the U :-/', 'all good', 'So 4 and U then?', ""'that''s what im thinking'"", 'How do you know that U and P have a number on the other side', 'How do you know that 4 and 5 have a letter on the other side', 'It comes down to testing a rule. Voels with cards have even numbers.', ""'it doesn''t matter if the P or the 5 have anything at all on the other side, because they aren''t included in the rule'"", '5 is not even, and P is not a vowel', 'The rule is not  ONLY cards with vowels on one side...""', ""'okay  I agree now.  I guess I wasn''t clear on the rule.'"", 'do we submit the answer now?', 'sounds good to me', 'actually.  now Im thinking about this again', 'has it been 5 minutes', 'what about Falcon?', 'maybe we do need to turn them all, because what if the 5 has a vowel behind it', 'or the P has an even number?', 'Yes.  That is what I was thinking.', ""'I''m good either way.'"", ""'you have to be able to exclude all of the possibilities and you can''t do that if you don''t turn them all over'"", ""'okay.  I think you''re right bat'''"", 'lets submit it', ""'Great.  I guess we''ll find out when we get the bonus or not.'"", ""'I guess we''ll see.'"", ""'I''m submitting now.  Thanks'"", 'Feels like one of those puzzles you have to know exactly what the creator of it means without any extra hints.', 'See ya around bat and falcon.']","{'cards': ['5', 'U', 'P', '4'], '': [], 'Guinea pig': ['5', 'U', 'P', '4'], 'Bat': [], 'Falcon': ['5', 'U', 'P', '4']}",-0.25
2ec384a1-b6b4-451c-a0c0-602275fcec5a,"['is it just A and 6?', 'for some reason i feel like that would be too easy of an answer', ""'I couldn''t figure it out so I selected all four that way I would know if the rule is correct or not.'"", ""'i don''t think S and 9 would matter bc they don''t already have at least on vowel or even number'"", 'hedgehog or butterfly, what are your thoughts?', 'what options did you select?', 'unless 9 has a vowel on the other side', ""'i''d say a for sure bc you have to make sure there is an even number on the other side'"", ""'I don''t see how anything relates, turning any card doesn''t help solve anything to me'"", 'or should I say test not solve', ""'turning the card would let you know what''s on the other side so you could confirm the statement'""]","{'cards': ['6', 'S', '9', 'A'], '': [], 'Hedgehog': ['6', '9', 'A'], 'Hamster': ['6', 'S', '9', 'A'], 'Bat': ['9', 'A']}",-0.03174603174603163
